"GTYPACCENT";"Type de pièces";
"GVARCODPAR";"Paramètres des variables";
"GVARGAU";"Variables pièces automatiques";
"GVARPARGAU";"Paramétrage variables";
"GVARPARVAL";"Valeurs paramètres";
"HD1CLOB";"Clobs demandes de service";
"HD2CLOB";"Clobs interventions";
"HD3CLOB";"Clobs solutions";
"HD4CLOB";"Clobs compte-rendu commercial";
"HD5CLOB";"Clobs marketing";
"HD6CLOB";"Minis-Clobs CRM";
"HD7CLOB";"Clobs consommations SAV";
"HD8CLOB";"Clobs lead";
"HDKTASK";"Consommations SAV";
"HDKTASKINV";"Consommations à facturer";
"HDKTRS";"Transaction de saisie HDK";
"HDKTRSVAL";"Transaction saisie valeurs HDK";
"HISTOCRM";"Historique";
"HISTODUD";"Historique échéances";
"HISTOOMM";"Historique envois mailing";
"HONLIN";"Lignes d'honoraires";
